Title,Year,Term,Link,Course Title,Course Number,Collaborator(s),Tools,Acknolwedgements
Budgitt: A dynamic website based off the MVC architecture that helps users keep track of their budget over regular spending periods.,2015,Fall,https://github.com/al5250/budgitt,Introduction to Computer Science,CS 50,"Joy Jin '19, Helen Wu '19","PHP, JavaScript, MySQL, HTML/CSS",
A linear model for predicting MLB batter salary from season statistics.,2016,Spring,,Statistical Sleuthing Through Linear Models,Stat 139,"Salvador Barragan-Santana '18, Aaron Sachs '19",R,
An OCaml-based application that utilizes recursive algorithms to randomly generate mazes and compute the solutions to them.,2016,Spring,https://github.com/al5250/the-o-maze-ing-caml,Abstraction and Design in Computation,CS 51,Melissa Yu '19,OCaml,
Designing and implementing linear/integer programs for real-world optimization problems in cancer radiation treatment and paired kidney exchange.,2016,Fall,,Introduction to Optimization: Models and Methods,APMTH 121,"Ana Carell '17, Karly Zlatic '17, Matthew Huang '19, Melissa Yu '19","AMPL, CPLEX, MATLAB",
Martingale-based algorithms for detecting various types of anomalies in time series.,2016,Fall,https://github.com/al5250/cs109a_project,Introduction to Data Science,CS 109a,Melissa Yu '19,"Python (NumPy, SciKit-Learn)",
"Evaluating and comparing the relative efficacies of different optimization algorithms (e.g. SGD, Adam, L-BFGS, CG) in training neural networks.",2016,Fall,https://github.com/robertsychen/AM205_Deep_Learning_Optimizers,Advanced Scientific Computing: Numerical Methods,APMTH 205,Robert Chen '17,Python (TensorFlow),
"An analysis of different predictive modeling techniques (e.g. random forest, generalized linear model, artifical neural network) for determining whether or not a Colorado citizen voted in the 2016 election. ",2017,Spring,https://github.com/phillipyu/149final,Statistical Sleuthing Through Generalized Linear Models,Stat 149,"Matthew Huang '19, Melissa Yu '19, Phillip Yu '19","R, Python (NumPy, SciKit-Learn)",
"Various practically-oriented projects for applying machine learning to the real world, including molecular fingerprinting, malware detection, music recommendation, and reinforcement learning for AI-driven game playing.   ",2017,Spring,https://github.com/matthewhuang97/cs181_practicals,Machine Learning,CS 181,"Matthew Huang '19, Melissa Yu '19","Python (NumPy, Pandas, SciKit-Learn, PyGame)",
Clustering biometric data of preterm births using hierarchical Bayesian mixture models.,2017,Spring,,"Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization",APMTH 207,,"Python (PyMC3, Theano)",
Developing an EM algorithm for clustering time series in applications such as epilepsy recognition and neuronal firing rate analysis.,2017,Fall,,Advanced Machine Learning,CS 281,,Python (NumPy),This project was mentored by [Professor Demba Ba](http://demba-ba.org/) and [Yingzhuo (Diana) Zhang](https://crisp.seas.harvard.edu/people/yingzhuo-diana-zhang). 
Fair and interpretable scoring rule models for the credit scoring problem.,2018,Spring,https://github.com/melissayu01/CS236-final,Topics at the Interface between Computer Science and Economics,CS 236,Melissa Yu '19,"Python (NumPy), CPLEX",
Unaligned style transfer of sentence sentiment using Adversarially Regularized Autoencoders (ARAEs).,2018,Spring,https://github.com/melissayu01/CS287r/tree/master/final_project,Machine Learning for Natural Language,CS 287,Melissa Yu '19,Python (PyTorch),
Examining various attack and defense methods for neural networks with respect to adversarial examples.,2018,Spring,https://ziziberry.github.io/ac297r-google/,Computational Science and Engineering Capstone Project Course,AC 297 ,"ZiZi Zhang '18, Thomas Chang '19, Amil Merchant '19","Python (Keras, TensorFlow)","This project was mentored by [Ekin Dogus Cubuk](https://scholar.google.com/citations?user=Mu_8iOEAAAAJ&hl=en) during his time at [Google Brain](https://ai.google/research/teams/brain), as well as by [Patrick Ohiomoba](https://www.zobreus.com/team/patrickohiomoba/), [Eleni Kaxiras](https://www.seas.harvard.edu/computing-office/people), and [Professor Pavlos Protopapas](https://iacs.seas.harvard.edu/people/pavlos-protopapas). "
Interactive visualizations with storytelling for American gun violence data.,2018,Fall,https://github.com/al5250/cs171-final-project,Data Visualization,CS 171,"Emily Chen '19, Michel Li '19, Daniel Seong '19","JavaScript (D3), HTML/CSS",
An implementation of the Hartree-Fock algorithm for automatically calculating interesting properties of small molecules from first principles.,2018,Fall,https://github.com/al5250/ps_10_final_project,Quantum and Statistical Foundations of Chemistry,PS 10,,"Python (NumPy, SciPy)",This project was mentored by [Michael Mavros](https://chemistry.harvard.edu/people/michael-mavros).
